Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Status
hockey-gloves-pro-grip,Hockey Gloves - Pro Grip,"<p>Professional hockey gloves with segmented fingers for flexibility. High-density foam protection and moisture-wicking liner.</p>",FitnessHeals,Equipment,"hockey, equipment, gloves",TRUE,Title,Default Title,HOCKEY-GLOVES-001,89.00,deny,manual,TRUE,TRUE,,active
hockey-helmet-elite-guard,Hockey Helmet - Elite Guard,"<p>CSA certified hockey helmet with adjustable fit system. Multi-density foam liner and integrated ear protection.</p>",FitnessHeals,Equipment,"hockey, equipment, helmet, protection",TRUE,Title,Default Title,HOCKEY-HELMET-001,129.00,deny,manual,TRUE,TRUE,,active
running-shoes-ultra-boost-pro,Running Shoes - Ultra Boost Pro,"<p>Lightweight running shoes with responsive Boost cushioning. Breathable Primeknit upper and Continental rubber outsole.</p>",FitnessHeals,Footwear,"running, footwear, shoes, bestseller",TRUE,Title,Default Title,RUN-SHOES-001,159.00,deny,manual,TRUE,TRUE,,active
running-shorts-lightweight,Running Shorts - Lightweight,"<p>Ultra-lightweight running shorts with built-in brief. Reflective details and zippered back pocket for essentials.</p>",FitnessHeals,Apparel,"running, apparel, shorts",TRUE,Title,Default Title,RUN-SHORTS-001,45.00,deny,manual,TRUE,TRUE,,active
running-watch-gps-tracker,Running Watch - GPS Tracker,"<p>GPS running watch with heart rate monitoring. Tracks pace, distance, and cadence. 7-day battery life.</p>",FitnessHeals,Accessories,"running, accessories, watch, technology",TRUE,Title,Default Title,RUN-WATCH-001,199.00,deny,manual,TRUE,TRUE,,active
swimming-goggles-pro-vision,Swimming Goggles - Pro Vision,"<p>Anti-fog swimming goggles with UV protection. Adjustable nose bridge and silicone gaskets for leak-free fit.</p>",FitnessHeals,Accessories,"swimming, accessories, goggles",TRUE,Title,Default Title,SWIM-GOGGLES-001,39.00,deny,manual,TRUE,TRUE,,active
swim-cap-silicone-pro,Swim Cap - Silicone Pro,"<p>Premium silicone swim cap that reduces drag. Wrinkle-free fit and durable construction for training and competition.</p>",FitnessHeals,Accessories,"swimming, accessories, cap",TRUE,Title,Default Title,SWIM-CAP-001,15.00,deny,manual,TRUE,TRUE,,active
swimsuit-competition-jammer,Swimsuit - Competition Jammer,"<p>Competition jammer swimsuit with hydrophobic coating. Compressive fit reduces muscle fatigue and drag.</p>",FitnessHeals,Apparel,"swimming, apparel, swimsuit",TRUE,Title,Default Title,SWIM-JAMMER-001,69.00,deny,manual,TRUE,TRUE,,active
muay-thai-gloves-16oz-pro,Muay Thai Gloves - 16oz Pro,"<p>Premium leather Muay Thai gloves with multi-layer foam padding. Long cuff design for wrist support during clinch work.</p>",FitnessHeals,Equipment,"muay thai, equipment, gloves, bestseller",TRUE,Title,Default Title,MT-GLOVES-001,89.00,deny,manual,TRUE,TRUE,,active
muay-thai-shorts-fighter-pro,Muay Thai Shorts - Fighter Pro,"<p>Traditional cut Muay Thai shorts with wide leg openings. Satin fabric with embroidered designs and elastic waistband.</p>",FitnessHeals,Apparel,"muay thai, apparel, shorts",TRUE,Title,Default Title,MT-SHORTS-001,49.00,deny,manual,TRUE,TRUE,,active
muay-thai-shin-guards-pro,Muay Thai Shin Guards - Pro,"<p>Full-coverage Muay Thai shin guards with instep protection. Hook-and-loop closures and contoured fit.</p>",FitnessHeals,Equipment,"muay thai, equipment, shin guards, protection",TRUE,Title,Default Title,MT-SHINGUARD-001,69.00,deny,manual,TRUE,TRUE,,active
triathlon-wetsuit-speed,Triathlon Wetsuit - Speed,"<p>Buoyancy-optimized triathlon wetsuit with flexible shoulder panels. SCS coating for reduced drag and quick transitions.</p>",FitnessHeals,Apparel,"triathlon, apparel, wetsuit",TRUE,Title,Default Title,TRI-WETSUIT-001,299.00,deny,manual,TRUE,TRUE,,active
triathlon-suit-aero-pro,Triathlon Suit - Aero Pro,"<p>One-piece triathlon suit with chamois pad. Quick-dry fabric and aero fit for all three disciplines.</p>",FitnessHeals,Apparel,"triathlon, apparel, suit",TRUE,Title,Default Title,TRI-SUIT-001,179.00,deny,manual,TRUE,TRUE,,active
triathlon-hydration-belt,Triathlon Hydration Belt,"<p>Lightweight hydration belt with two bottle holders. Expandable pocket for nutrition and race essentials.</p>",FitnessHeals,Accessories,"triathlon, accessories, hydration",TRUE,Title,Default Title,TRI-BELT-001,39.00,deny,manual,TRUE,TRUE,,active
